"Please enter this URL in the <strong>Merchant URL</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> in your Amazon Seller Central.","Please enter this URL in the <strong>Merchant URL</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> in your Amazon Seller Central."
"Please fill in required data that cannot be retrieved from your Amazon account.","Please fill in required data that cannot be retrieved from your Amazon account."
"Please note that the total amount of the order will be charged at order placement.","Please note that the total amount of the order will be charged at order placement."
"Please provide all required data.","Please provide all required data."
"Pop-up","Pop-up"
"Preview","Preview"
"Query","Query"
"Quick-register Merchant account","Quick-register Merchant account"
"Redirect","Redirect"
"Redirecting, please wait...","Redirecting, please wait..."
"Request Body","Request Body"
"Request Headers","Request Headers"
"Response","Response"
"Response code","Response code"
"Response headers","Response headers"
"Sandbox Mode","Sandbox Mode"
"Sandbox Toolbox","Sandbox Toolbox"
"Secret Access Key","Secret Access Key"
"Select appropriate store view scope to display IPN endpoint URL","Select appropriate store view scope to display IPN endpoint URL"
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Select whether an email confirmation for newly placed orders shall be sent by the shop"
"Seller Central configuration","Seller Central configuration"
"Send order confirmation","Send order confirmation"
"Settings","Settings"
"Show Sandbox Toolbox","Show Sandbox Toolbox"
"Small","Small"
"Spanish","Spanish"
"Stack trace","Stack trace"
"Store Options","Store Options"
"Store name","Store name"
"Stores","Stores"
"Synchronous","Synchronous"
"Tan","Tan"
"There has been a problem with the selected payment method from your Amazon account, please choose another payment method from you Amazon account or return to the cart to choose another checkout method.","There has been a problem with the selected payment method from your Amazon account, please choose another payment method from you Amazon account or return to the cart to choose another checkout method."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one.","There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one."
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This extension integrates easily your Magento shop with Amazon Pay service.","This extension integrates easily your Magento shop with Amazon Pay service."
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted."
"This is not valid Seller Central configuration JSON","This is not valid Seller Central configuration JSON"
"Total %d records found","Total %d records found"
"United Kingdom","United Kingdom"
"United States","United States"
"URL","URL"
"Use quick configuration option...","Use quick configuration option..."
"Use responsive widgets","Use responsive widgets"
"Use these credentials","Use these credentials"
"Use these credentials and save","Use these credentials and save"
"Use your Amazon Account","Use your Amazon Account"
"Validate Amazon Payments account","Validate Amazon Payments account"
"View","View"
"Wallet widget height","Wallet widget height"
"Wallet widget width","Wallet widget width"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Whether to show a toolbox in the checkout for simulating different payment scenarios."
"Whoops! Your Access Key ID seems to be invalid.","Whoops! Your Access Key ID seems to be invalid."
"Whoops! Your Merchant ID seems to be invalid.","Whoops! Your Merchant ID seems to be invalid."
"Whoops! Your Secret Access Key seems to be invalid.","Whoops! Your Secret Access Key seems to be invalid."
"With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people."
"X-Large","X-Large"
"You have aborted the login with Amazon. Please contact us or try again.","You have aborted the login with Amazon. Please contact us or try again."
"Your language","Your language"
